	0
0	The Original
1	$7.99
2	 • 
3	Turkey Bacon Club Sandwich
4	$9.19
5	 • 
6	Center of the Roll™
7	$5.39
8	Loaded Baked Potato Soup
9	$5.99
10	 • 
11	Bacon Smokecheesy Sandwich
12	$9.99
13	 • 
